fold,accuracy,total_return_pct,sharpe_ratio,max_drawdown_pct,final_capital,total_trades,buy_signals,sell_signals
1,0.27860696517412936,-1.503098077625975,-0.13318168042122078,-6.7905983801098495,984.9690192237402,178,64,114
2,0.4228855721393035,7.999088246590125,0.9864973820631954,-4.536358995838735,1079.9908824659012,98,19,79
3,0.4079601990049751,-0.6409417906582782,0.008105493528568543,-14.263583013190534,993.5905820934172,93,73,20
4,0.208955223880597,-8.07493922691842,-2.5748713828540843,-9.077954696320262,919.2506077308158,174,20,154
5,0.48756218905472637,-5.509022548650266,-2.946401848541445,-5.509022548650262,944.9097745134974,79,15,64
