Date,open,high,low,close,volume,daily_return,SMA_20,SMA_50,RSI,MACD,Signal_Line,BB_upper,BB_middle,BB_lower,future_return,Signal,predicted_signal,next_close,price_change,equity_curve,buy_and_hold
2020-03-13,140.92515738418072,154.6928321908884,134.45692743443067,151.7501220703125,92727400,0.14216910807502892,160.03005294799806,160.96091918945314,46.39861756642435,-4.932223082860759,-2.630975973764673,131.0982564035733,145.80926513671875,160.5202738698642,-0.11603618507051117,-1,,129.3835906982422,-0.147390532982286,1000.0,1000.0
2020-03-16,133.7594368828441,142.69266224896845,128.98231413702825,129.3835906982422,87905900,-0.147390532982286,157.66895294189453,160.48774505615233,36.89603934867253,-6.4123111085695825,-3.387243000725655,123.01472705232585,142.90477294921874,162.79481884611164,0.0538328535561321,1,-1.0,140.03662109375,0.08233679663716842,999.0,852.609467017714
2020-03-17,133.75947310801226,140.92515916737005,128.9823490684404,140.03662109375,81059800,0.08233679663716842,155.75094146728514,160.26574462890625,42.89492182154829,-6.649035073132069,-4.0396014152069375,123.487057956471,140.16271057128907,156.83836318610713,-0.06290512386896563,-1,1.0,134.14161682128906,-0.04209616189264109,999.0,922.8105993144761
2020-03-18,131.8486034620933,139.49200076424364,129.00144204905686,134.14161682128906,81593200,-0.04209616189264109,153.51142425537108,159.91803009033202,40.59515611951525,-7.2289868383487885,-4.677478499835308,121.93544269690162,137.63465881347656,153.3338749300515,-0.031481594179571304,-1,-1.0,136.3486785888672,0.01645322175084929,998.001,883.9638149294889
2020-03-19,136.40600174385253,143.4570268009298,132.8040461931456,136.3486785888672,85922700,0.01645322175084929,151.51888732910157,159.64208953857423,41.8521308966354,-7.424921478203515,-5.226967095508949,123.24521399224717,138.33212585449218,153.41903771673717,0.03945064693528133,1,-1.0,131.22760009765625,-0.03755869542859702,998.001,898.5078675962504
2020-03-20,139.49201865938184,140.54299175470402,129.8040119191972,131.22760009765625,84866200,-0.03755869542859702,149.5488037109375,159.21589569091796,39.75039665904401,-7.902336115813625,-5.762040899569885,126.7061578214352,134.22762145996094,141.7490850984867,0.06967637240916758,1,1.0,129.9186248779297,-0.009974846897698786,987.0480918212497,864.7610842570047
2020-03-23,130.90271098792135,134.3040345966447,126.61286413328438,129.9186248779297,78975200,-0.009974846897698786,147.88110809326173,158.72540893554688,39.20840318731795,-8.290743486274778,-6.267781416910864,127.0814312468242,134.33462829589843,141.58782534497266,0.14803683711739724,1,1.0,141.72772216796875,0.09089610747600485,987.0480918212497,856.135224838453
2020-03-24,137.3423254995829,142.93156683832092,134.9728758964577,141.72772216796875,82516700,0.09089610747600485,146.93858261108397,158.4853970336914,46.3195362741489,-7.558533596846388,-6.525931852897969,126.31417709206704,134.6728485107422,143.03151992941736,0.009168017115785299,0,1.0,140.37106323242188,-0.009572290549755835,976.6127326079334,933.9545842493627
2020-03-25,142.27236455555817,147.45076719083298,138.00161290962637,140.37106323242188,75638200,-0.009572290549755835,145.8279052734375,158.18128265380858,45.658754615930874,-7.006951249880871,-6.6221357322945495,126.46313719880767,135.91873779296876,145.37433838712982,0.09059316965379538,1,0.0,149.1513671875,0.06255066929670527,976.6127326079334,925.0144996086514
2020-03-26,141.78503551174546,149.67685374701728,141.75637393382866,149.1513671875,64568100,0.06255066929670527,145.72901916503906,158.07468872070314,50.573254675457655,-5.794525434618123,-6.456613672759264,124.22736075629305,138.47927551269532,152.7311902690976,0.010249229036672247,0,1.0,143.02708435058594,-0.041060856178509963,935.5355649196094,982.8747756683293
