Date,open,high,low,close,volume,daily_return,SMA_20,SMA_50,RSI,MACD,Signal_Line,BB_upper,BB_middle,BB_lower,future_return,Signal
2020-03-13,67.36914825439453,67.84175558934598,61.30526952735632,64.19906676832508,370732000,0.03496919334364934,70.5691574695268,73.73161714656202,40.028502738882985,-2.789964087937804,-2.0630184186196807,60.8848203324544,64.90966302560571,68.93450571875702,-0.09483185238926362,-1
2020-03-16,58.70231246948242,62.7909413516552,58.166692548418034,58.63929618574619,322423600,-0.08660204676560823,69.56590412322566,73.47186153130433,34.07117450026781,-3.297777339265778,-2.3099702027489,57.34084620323591,63.852971765836784,70.36509732843766,0.022483949164906036,1
2020-03-17,61.283451080322266,62.434663042742706,57.77890662120889,59.98681722549025,324056000,0.022979829694333986,68.74369366192357,73.23465552302191,36.53647433279752,-3.5505606601925592,-2.558088294237632,56.30748425690861,62.4167382605202,68.52599226413179,-0.0013333060083312587,0
2020-03-18,59.783241271972656,60.59030457265709,57.46869089766941,58.1109503450228,300233600,-0.0312713187201793,67.7714627517702,72.97618019274199,34.59700018363476,-3.857789843289936,-2.818028604048093,56.08424576050296,60.593212134494955,65.10217850848696,-0.04875499162380481,-1
2020-03-19,59.32517623901367,61.27860698512917,58.79925286107015,59.95773914025238,271857200,0.03178039223699858,66.85970000884681,72.72538423374796,38.081782866539456,-3.907210868110994,-3.035865056860673,55.89911559480927,60.17877393296734,64.4584322711254,-0.04458551712208625,-1
2020-03-20,55.55887985229492,61.033818180361195,55.258350649014375,59.90683644166283,401693200,-0.0008489762842870396,65.99398564636235,72.4865301552642,38.02164926131407,-3.9054650388057297,-3.2097850532496848,57.740228719877024,59.32032786763489,60.90042701539275,0.01444295867494172,0
2020-03-23,54.37858963012695,55.37954272359019,51.52842281078119,55.27775144769988,336752800,-0.07727139787244064,65.15565950242963,72.1063497565595,32.92926631109129,-4.228862237144163,-3.413600490028581,54.988563769320024,58.64801892002563,62.30747407073123,0.08084861675175725,1
2020-03-24,59.83413314819336,60.03044512491102,56.785228864020425,57.28449233521307,287531200,0.03630286751826084,64.37295455958731,71.7500562140064,36.87623624322897,-4.273962054078993,-3.5856728028386633,54.603747225578964,58.107553941970195,61.61136065836143,0.06934351596064992,1
2020-03-25,59.504520416259766,62.58977733010226,59.20883946854917,60.77206840473627,303602000,0.060881678921318905,63.93936997487801,71.4584851519151,43.138951903239004,-3.982379351783017,-3.665014112627534,54.53815418714944,58.63977755391288,62.74140092067632,-3.980186666507901e-05,0
2020-03-26,62.635826110839844,62.69399042923719,59.708102511703466,59.74688118939386,252087200,-0.01686938164610019,63.520327614798134,71.12194181226604,41.82532126230883,-3.790329441501143,-3.690077178402256,54.54703501089856,58.59760596374118,62.6481769165838,0.03683276541734082,1
